dst,org,date,lei,lei50mi
35,27,2022-10-01,5336.0,5336.0
35,28,2022-10-01,7867.0,7867.0
35,29,2022-10-01,25773.0,25773.0
35,30,2022-10-01,2031.0,2031.0
35,31,2022-10-01,2822.0,2822.0
35,32,2022-10-01,67562.0,67562.0
35,33,2022-10-01,604.0,604.0
35,34,2022-10-01,4530.0,4530.0
35,35,2022-10-01,6928714.0,4101015.0
35,36,2022-10-01,20036.0,20036.0
35,37,2022-10-01,6179.0,6179.0
35,38,2022-10-01,940.0,940.0
35,39,2022-10-01,5804.0,5804.0
35,40,2022-10-01,31613.0,31399.0
35,41,2022-10-01,3937.0,3937.0
35,42,2022-10-01,11396.0,11396.0
35,44,2022-10-01,262.0,262.0
35,45,2022-10-01,3105.0,3105.0
35,46,2022-10-01,1064.0,1064.0
35,47,2022-10-01,11734.0,11734.0
35,48,2022-10-01,2070494.0,955926.0
35,49,2022-10-01,60392.0,60365.0
35,50,2022-10-01,134.0,134.0
35,51,2022-10-01,6934.0,6934.0
35,53,2022-10-01,7139.0,7139.0
35,54,2022-10-01,1114.0,1114.0
35,55,2022-10-01,4311.0,4311.0
35,56,2022-10-01,1985.0,1985.0
35,1,2022-11-01,1441.0,1441.0
35,2,2022-11-01,0.0,0.0
35,4,2022-11-01,523515.0,329709.0
35,5,2022-11-01,4922.0,4922.0
35,6,2022-11-01,68410.0,68410.0
35,8,2022-11-01,386727.0,221363.0
35,9,2022-11-01,1480.0,1480.0
35,10,2022-11-01,23.0,23.0
35,11,2022-11-01,226.0,226.0
35,12,2022-11-01,13375.0,13375.0
35,13,2022-11-01,8482.0,8482.0
35,15,2022-11-01,0.0,0.0
35,16,2022-11-01,2331.0,2331.0
35,17,2022-11-01,11300.0,11300.0
35,18,2022-11-01,2926.0,2926.0
35,19,2022-11-01,1091.0,1091.0
35,20,2022-11-01,11424.0,11424.0
35,21,2022-11-01,2396.0,2396.0
35,22,2022-11-01,2077.0,2077.0
35,23,2022-11-01,699.0,699.0
35,24,2022-11-01,2965.0,2965.0
35,25,2022-11-01,1206.0,1206.0
35,26,2022-11-01,1307.0,1307.0
35,27,2022-11-01,2251.0,2251.0
35,28,2022-11-01,1433.0,1433.0
35,29,2022-11-01,21158.0,21158.0
35,30,2022-11-01,521.0,521.0
35,31,2022-11-01,3026.0,3026.0
35,32,2022-11-01,36154.0,36154.0
35,33,2022-11-01,1135.0,1135.0
35,34,2022-11-01,1612.0,1612.0
35,35,2022-11-01,6833050.0,3269807.0
35,36,2022-11-01,2972.0,2972.0
35,37,2022-11-01,2434.0,2434.0
35,38,2022-11-01,407.0,407.0
35,39,2022-11-01,2205.0,2205.0
35,40,2022-11-01,13984.0,11053.0
35,41,2022-11-01,4799.0,4799.0
35,42,2022-11-01,2566.0,2566.0
35,44,2022-11-01,0.0,0.0
35,45,2022-11-01,913.0,913.0
35,46,2022-11-01,378.0,378.0
35,47,2022-11-01,4027.0,4027.0
35,48,2022-11-01,2358740.0,680697.0
35,49,2022-11-01,26930.0,24463.0
35,50,2022-11-01,355.0,355.0
35,51,2022-11-01,2991.0,2991.0
35,53,2022-11-01,16666.0,16666.0
35,54,2022-11-01,68.0,68.0
35,55,2022-11-01,1681.0,1681.0
35,56,2022-11-01,1128.0,1128.0
35,1,2022-12-01,526.0,526.0
35,2,2022-12-01,0.0,0.0
35,4,2022-12-01,235204.0,116996.0
35,5,2022-12-01,572.0,572.0
35,6,2022-12-01,25922.0,25922.0
35,8,2022-12-01,266280.0,143937.0
35,9,2022-12-01,148.0,148.0
35,10,2022-12-01,0.0,0.0
35,11,2022-12-01,60.0,60.0
35,12,2022-12-01,5281.0,5281.0
35,13,2022-12-01,6834.0,6834.0
35,15,2022-12-01,0.0,0.0
35,16,2022-12-01,2240.0,2240.0
35,17,2022-12-01,11266.0,11266.0
35,18,2022-12-01,939.0,939.0
35,19,2022-12-01,71.0,71.0
35,20,2022-12-01,2570.0,2570.0
35,21,2022-12-01,146.0,146.0
35,22,2022-12-01,815.0,815.0
35,23,2022-12-01,0.0,0.0
35,24,2022-12-01,2377.0,2377.0
35,25,2022-12-01,2615.0,2615.0
35,26,2022-12-01,989.0,989.0
35,27,2022-12-01,272.0,272.0
35,28,2022-12-01,638.0,638.0
35,29,2022-12-01,5555.0,5555.0
35,30,2022-12-01,0.0,0.0
35,31,2022-12-01,806.0,806.0
35,32,2022-12-01,19303.0,19303.0
35,33,2022-12-01,52.0,52.0
35,34,2022-12-01,1367.0,1367.0
35,35,2022-12-01,4218448.0,1525186.0
35,36,2022-12-01,8000.0,8000.0
35,37,2022-12-01,2191.0,2191.0
35,38,2022-12-01,0.0,0.0
35,39,2022-12-01,483.0,483.0
35,40,2022-12-01,7706.0,7523.0
35,41,2022-12-01,692.0,692.0
35,42,2022-12-01,607.0,607.0
35,44,2022-12-01,0.0,0.0
35,45,2022-12-01,151.0,151.0
35,46,2022-12-01,58.0,58.0
35,47,2022-12-01,1368.0,1368.0
35,48,2022-12-01,1775595.0,448503.0
35,49,2022-12-01,10277.0,9701.0
35,50,2022-12-01,0.0,0.0
35,51,2022-12-01,3218.0,3218.0
35,53,2022-12-01,4364.0,4364.0
35,54,2022-12-01,0.0,0.0
35,55,2022-12-01,2932.0,2932.0
35,56,2022-12-01,222.0,222.0
36,1,2022-01-01,32796.0,32796.0
36,2,2022-01-01,0.0,0.0
36,4,2022-01-01,38034.0,38034.0
36,5,2022-01-01,9608.0,9608.0
36,6,2022-01-01,175244.0,175244.0
36,8,2022-01-01,55147.0,55147.0
36,9,2022-01-01,2786339.0,948510.0
36,10,2022-01-01,53926.0,53926.0
36,11,2022-01-01,175228.0,175228.0
36,12,2022-01-01,1138756.0,1138756.0
36,13,2022-01-01,237845.0,237845.0
36,15,2022-01-01,2068.0,2068.0
36,16,2022-01-01,5045.0,5045.0
36,17,2022-01-01,362009.0,362009.0
36,18,2022-01-01,74850.0,74850.0
36,19,2022-01-01,9056.0,9056.0
36,20,2022-01-01,20729.0,20729.0
36,21,2022-01-01,49547.0,49547.0
36,22,2022-01-01,35889.0,35889.0
36,23,2022-01-01,87650.0,87650.0
36,24,2022-01-01,436083.0,436083.0
36,25,2022-01-01,532995.0,429241.0
36,26,2022-01-01,110342.0,110342.0
36,27,2022-01-01,30161.0,30161.0
36,28,2022-01-01,11939.0,11939.0
36,29,2022-01-01,34929.0,34929.0
36,30,2022-01-01,4159.0,4159.0
36,31,2022-01-01,6881.0,6881.0
36,32,2022-01-01,39057.0,39057.0
36,33,2022-01-01,73985.0,73985.0
36,34,2022-01-01,12782449.0,1537702.0
36,35,2022-01-01,7386.0,7386.0
36,36,2022-01-01,17092933.0,3968865.0
36,37,2022-01-01,251928.0,251928.0
36,38,2022-01-01,1500.0,1500.0
36,39,2022-01-01,197439.0,197439.0
36,40,2022-01-01,10358.0,10358.0
36,41,2022-01-01,11192.0,11192.0
36,42,2022-01-01,1982993.0,964612.0
