dst,org,date,lei,lei50mi
11,42,2022-01-01,2556.0,1905.0
11,44,2022-01-01,16.0,16.0
11,45,2022-01-01,622.0,622.0
11,46,2022-01-01,0.0,0.0
11,47,2022-01-01,316.0,316.0
11,48,2022-01-01,1240.0,1240.0
11,49,2022-01-01,104.0,104.0
11,50,2022-01-01,64.0,64.0
11,51,2022-01-01,29674.0,4055.0
11,53,2022-01-01,104.0,104.0
11,54,2022-01-01,783.0,783.0
11,55,2022-01-01,92.0,92.0
11,56,2022-01-01,12.0,12.0
12,1,2022-01-01,121143.0,70206.0
12,2,2022-01-01,740.0,740.0
12,4,2022-01-01,12209.0,12209.0
12,5,2022-01-01,17219.0,17219.0
12,6,2022-01-01,40747.0,40747.0
12,8,2022-01-01,33808.0,33808.0
12,9,2022-01-01,21532.0,21532.0
12,10,2022-01-01,6054.0,6054.0
12,11,2022-01-01,2424.0,2424.0
12,12,2022-01-01,7106476.0,1452475.0
12,13,2022-01-01,309390.0,211738.0
12,15,2022-01-01,2191.0,2191.0
12,16,2022-01-01,2761.0,2761.0
12,17,2022-01-01,126914.0,126806.0
12,18,2022-01-01,72563.0,71320.0
12,19,2022-01-01,29700.0,29700.0
12,20,2022-01-01,16603.0,16603.0
12,21,2022-01-01,37887.0,37059.0
12,22,2022-01-01,33390.0,33390.0
12,23,2022-01-01,6362.0,6362.0
12,24,2022-01-01,38549.0,38549.0
12,25,2022-01-01,36259.0,36259.0
12,26,2022-01-01,93084.0,93084.0
12,27,2022-01-01,51007.0,51007.0
12,28,2022-01-01,31814.0,31814.0
12,29,2022-01-01,46876.0,46876.0
12,30,2022-01-01,3076.0,3076.0
12,31,2022-01-01,10969.0,10969.0
12,32,2022-01-01,27012.0,27012.0
12,33,2022-01-01,9378.0,9378.0
12,34,2022-01-01,86092.0,86092.0
12,35,2022-01-01,2494.0,2494.0
12,36,2022-01-01,144608.0,144608.0
12,37,2022-01-01,89611.0,89335.0
12,38,2022-01-01,3757.0,3757.0
12,39,2022-01-01,109932.0,109932.0
12,40,2022-01-01,14700.0,14700.0
12,41,2022-01-01,4516.0,4516.0
12,42,2022-01-01,77819.0,77819.0
12,44,2022-01-01,5021.0,5021.0
12,45,2022-01-01,58447.0,55721.0
12,46,2022-01-01,4614.0,4614.0
12,47,2022-01-01,87704.0,84401.0
12,48,2022-01-01,95266.0,95266.0
12,49,2022-01-01,10533.0,10533.0
12,50,2022-01-01,2261.0,2261.0
12,51,2022-01-01,50536.0,50536.0
12,53,2022-01-01,12931.0,12931.0
12,54,2022-01-01,8410.0,8410.0
12,55,2022-01-01,46651.0,46647.0
12,56,2022-01-01,1289.0,1289.0
13,1,2022-01-01,187018.0,111971.0
13,2,2022-01-01,314.0,314.0
13,4,2022-01-01,3069.0,3069.0
13,5,2022-01-01,5666.0,5666.0
13,6,2022-01-01,9530.0,9530.0
13,8,2022-01-01,8008.0,8008.0
13,9,2022-01-01,1682.0,1682.0
13,10,2022-01-01,1044.0,1044.0
13,11,2022-01-01,734.0,734.0
13,12,2022-01-01,314424.0,235536.0
13,13,2022-01-01,4290079.0,553221.0
13,15,2022-01-01,618.0,618.0
13,16,2022-01-01,408.0,408.0
13,17,2022-01-01,18291.0,18291.0
13,18,2022-01-01,21909.0,21433.0
13,19,2022-01-01,4025.0,4025.0
13,20,2022-01-01,2722.0,2722.0
13,21,2022-01-01,15407.0,11115.0
13,22,2022-01-01,12217.0,12217.0
13,23,2022-01-01,632.0,632.0
13,24,2022-01-01,5780.0,5780.0
13,25,2022-01-01,2504.0,2504.0
13,26,2022-01-01,12598.0,12562.0
13,27,2022-01-01,3832.0,3832.0
13,28,2022-01-01,15764.0,15764.0
13,29,2022-01-01,10093.0,10093.0
13,30,2022-01-01,1254.0,1254.0
13,31,2022-01-01,1903.0,1903.0
13,32,2022-01-01,11808.0,11808.0
13,33,2022-01-01,368.0,368.0
13,34,2022-01-01,7474.0,7474.0
13,35,2022-01-01,1128.0,1128.0
13,36,2022-01-01,10715.0,10715.0
13,37,2022-01-01,71851.0,53584.0
13,38,2022-01-01,426.0,426.0
13,39,2022-01-01,17624.0,14320.0
13,40,2022-01-01,4078.0,4078.0
13,41,2022-01-01,722.0,722.0
13,42,2022-01-01,8255.0,8255.0
13,44,2022-01-01,250.0,250.0
13,45,2022-01-01,172573.0,73291.0
13,46,2022-01-01,602.0,602.0
13,47,2022-01-01,109827.0,68153.0
13,48,2022-01-01,23643.0,23643.0
13,49,2022-01-01,2085.0,2085.0
13,50,2022-01-01,597.0,597.0
13,51,2022-01-01,15179.0,15159.0
13,53,2022-01-01,2128.0,2128.0
13,54,2022-01-01,3056.0,3048.0
13,55,2022-01-01,5908.0,5908.0
13,56,2022-01-01,1171.0,1171.0
15,1,2022-01-01,1008.0,1008.0
15,2,2022-01-01,1774.0,1774.0
15,4,2022-01-01,6901.0,6901.0
15,5,2022-01-01,576.0,576.0
15,6,2022-01-01,62009.0,62009.0
15,8,2022-01-01,5563.0,5563.0
15,9,2022-01-01,648.0,648.0
15,10,2022-01-01,76.0,76.0
15,11,2022-01-01,116.0,116.0
15,12,2022-01-01,6160.0,6160.0
15,13,2022-01-01,2122.0,2122.0
15,15,2022-01-01,23855.0,23835.0
15,16,2022-01-01,2401.0,2401.0
15,17,2022-01-01,7504.0,7504.0
15,18,2022-01-01,1748.0,1748.0
15,19,2022-01-01,1716.0,1716.0
15,20,2022-01-01,1919.0,1919.0
15,21,2022-01-01,1108.0,1108.0
15,22,2022-01-01,1160.0,1160.0
15,23,2022-01-01,376.0,376.0
15,24,2022-01-01,1804.0,1804.0
15,25,2022-01-01,952.0,952.0
15,26,2022-01-01,3244.0,3244.0
15,27,2022-01-01,5200.0,5200.0
15,28,2022-01-01,668.0,668.0
15,29,2022-01-01,3956.0,3956.0
15,30,2022-01-01,1040.0,1040.0
15,31,2022-01-01,1141.0,1141.0
15,32,2022-01-01,13412.0,13412.0
15,33,2022-01-01,80.0,80.0
15,34,2022-01-01,2044.0,2044.0
15,35,2022-01-01,1040.0,1040.0
15,36,2022-01-01,2800.0,2800.0
15,37,2022-01-01,1660.0,1660.0
15,38,2022-01-01,499.0,499.0
15,39,2022-01-01,2596.0,2596.0
15,40,2022-01-01,1032.0,1032.0
15,41,2022-01-01,7185.0,7185.0
15,42,2022-01-01,2164.0,2164.0
15,44,2022-01-01,328.0,328.0
15,45,2022-01-01,992.0,992.0
15,46,2022-01-01,688.0,688.0
15,47,2022-01-01,876.0,876.0
15,48,2022-01-01,8870.0,8870.0
15,49,2022-01-01,7474.0,7474.0
15,50,2022-01-01,44.0,44.0
15,51,2022-01-01,2056.0,2056.0
15,53,2022-01-01,12756.0,12756.0
15,54,2022-01-01,76.0,76.0
15,55,2022-01-01,5380.0,5380.0
15,56,2022-01-01,216.0,216.0
16,1,2022-01-01,240.0,240.0
16,2,2022-01-01,112.0,112.0
16,4,2022-01-01,3340.0,3340.0
16,5,2022-01-01,244.0,244.0
16,6,2022-01-01,10627.0,10627.0
16,8,2022-01-01,1769.0,1769.0
16,9,2022-01-01,28.0,28.0
16,10,2022-01-01,36.0,36.0
16,11,2022-01-01,0.0,0.0
16,12,2022-01-01,2188.0,2188.0
16,13,2022-01-01,480.0,480.0
16,15,2022-01-01,849.0,849.0
16,16,2022-01-01,307458.0,67057.0
16,17,2022-01-01,640.0,640.0
16,18,2022-01-01,308.0,308.0
16,19,2022-01-01,248.0,248.0
16,20,2022-01-01,360.0,360.0
16,21,2022-01-01,152.0,152.0
16,22,2022-01-01,160.0,160.0
16,23,2022-01-01,28.0,28.0
16,24,2022-01-01,40.0,40.0
16,25,2022-01-01,36.0,36.0
16,26,2022-01-01,252.0,252.0
16,27,2022-01-01,472.0,472.0
16,28,2022-01-01,220.0,220.0
16,29,2022-01-01,656.0,656.0
16,30,2022-01-01,6177.0,5473.0
16,31,2022-01-01,321.0,321.0
16,32,2022-01-01,6148.0,6111.0
16,33,2022-01-01,0.0,0.0
16,34,2022-01-01,112.0,112.0
16,35,2022-01-01,288.0,288.0
16,36,2022-01-01,200.0,200.0
16,37,2022-01-01,320.0,320.0
16,38,2022-01-01,572.0,572.0
16,39,2022-01-01,520.0,520.0
16,40,2022-01-01,272.0,272.0
16,41,2022-01-01,9746.0,8619.0
16,42,2022-01-01,200.0,200.0
16,44,2022-01-01,92.0,92.0
16,45,2022-01-01,232.0,232.0
16,46,2022-01-01,176.0,176.0
16,47,2022-01-01,371.0,371.0
16,48,2022-01-01,2176.0,2176.0
16,49,2022-01-01,18276.0,16211.0
16,50,2022-01-01,4.0,4.0
16,51,2022-01-01,192.0,192.0
16,53,2022-01-01,48619.0,17573.0
16,54,2022-01-01,8.0,8.0
16,55,2022-01-01,156.0,156.0
16,56,2022-01-01,4459.0,3842.0
17,1,2022-01-01,13167.0,11094.0
17,2,2022-01-01,150.0,150.0
17,4,2022-01-01,10566.0,10566.0
17,5,2022-01-01,23603.0,23058.0
17,6,2022-01-01,18703.0,18703.0
17,8,2022-01-01,10542.0,10542.0
17,9,2022-01-01,629.0,629.0
17,10,2022-01-01,305.0,305.0
17,11,2022-01-01,298.0,298.0
17,12,2022-01-01,71190.0,71066.0
17,13,2022-01-01,20996.0,20996.0
17,15,2022-01-01,1174.0,1174.0
17,16,2022-01-01,1577.0,1577.0
17,17,2022-01-01,4134809.0,491194.0
17,18,2022-01-01,142242.0,105947.0
17,19,2022-01-01,89763.0,63585.0
17,20,2022-01-01,9796.0,9796.0
17,21,2022-01-01,27990.0,18640.0
17,22,2022-01-01,6438.0,6210.0
17,23,2022-01-01,240.0,240.0
17,24,2022-01-01,3129.0,3129.0
17,25,2022-01-01,1094.0,1094.0
17,26,2022-01-01,54450.0,53708.0
17,27,2022-01-01,27216.0,27216.0
17,28,2022-01-01,11659.0,7814.0
