dst,org,distkm,border
12,42,1448.863568,0
12,44,1768.935855,0
12,45,625.441171,0
12,46,2374.956861,0
12,47,901.825337,0
12,48,1653.595154,0
12,49,2940.468098,0
12,50,1945.524609,0
12,51,1070.676925,0
12,53,3901.084562,0
12,54,1147.499304,0
12,55,1909.445701,0
12,56,2767.470687,0
13,1,322.014048,1
13,2,5799.677321,0
13,4,2623.869945,0
13,5,872.75212,0
13,6,3318.538192,0
13,8,2114.713416,0
13,9,1371.281713,0
13,10,1007.500003,0
13,11,904.834973,0
13,12,475.614399,1
13,13,0.0,0
13,15,7371.227742,0
13,16,2992.431946,0
13,17,975.150695,0
13,18,847.446932,0
13,19,1374.969443,0
13,20,1501.901539,0
13,21,570.67599,0
13,22,816.389324,0
13,23,1860.296651,0
13,24,927.921814,0
13,25,1491.406795,0
13,26,1368.561883,0
13,27,1776.153633,0
13,28,585.233439,0
13,29,1036.830291,0
13,30,2734.724252,0
13,31,1755.30573,0
13,32,3067.836272,0
13,33,1602.874369,0
13,34,1141.510522,0
13,35,2113.368289,0
13,36,1332.204477,0
13,37,510.585826,1
13,38,2186.455862,0
13,39,865.531148,0
13,40,1338.388059,0
13,41,3452.637243,0
13,42,1043.660271,0
13,44,1448.854084,0
13,45,275.570893,1
13,46,1959.434114,0
13,47,448.630947,1
13,48,1503.363078,0
13,49,2641.754523,0
13,50,1576.7088,0
13,51,693.330041,0
13,53,3527.542268,0
13,54,713.212815,0
13,55,1438.789443,0
13,56,2404.143261,0
15,1,7052.020541,0
15,2,4696.704485,0
15,4,4747.997218,0
15,5,6508.764512,0
15,6,4102.871184,0
15,8,5344.873064,0
15,9,8097.384677,0
15,10,7936.192772,0
15,11,7805.556452,0
15,12,7553.045073,0
15,13,7371.227742,0
15,15,0.0,0
15,16,4731.605371,0
15,17,6754.424569,0
15,18,6999.809597,0
15,19,6382.126861,0
15,20,5963.608632,0
15,21,7115.250662,0
15,22,6618.020252,0
15,23,8276.941713,0
15,24,7833.269398,0
15,25,8182.347084,0
15,26,7005.866399,0
15,27,6339.885882,0
15,28,6792.331063,0
15,29,6480.696184,0
15,30,5192.086695,0
15,31,5856.922489,0
15,32,4409.876243,0
